station,sign,frontiere_bas,frontiere_haut
5015,15,['[00010]'],['[11111]']
8012,15,['[11100]'],['[11111]']
8019,15,"['[01100]', '[00010]', '[00001]', '[10000]']",['[11111]']
8020,15,"['[01101]', '[11100]']",['[11111]']
9004,15,"['[00100]', '[00001]', '[10000]', '[01000]']",['[11111]']
9038,15,['[10000]'],['[11101]']
9118,15,"['[01011]', '[01110]', '[10011]', '[01101]', '[11010]', '[10101]', '[00111]', '[10110]', '[11100]']",['[11111]']
10015,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[01111]', '[11101]', '[11011]', '[10111]']"
10026,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
10036,15,"['[00100]', '[00011]', '[01000]', '[10000]']","['[00011]', '[00101]', '[01001]', '[10001]']"
10107,15,"['[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
10165,15,"['[01100]', '[00010]', '[00001]', '[10100]', '[11000]']",['[11111]']
11010,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
11016,15,"['[00100]', '[00001]', '[10000]', '[01010]']",['[11111]']
11017,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
11201,15,"['[00100]', '[01000]', '[10000]']",['[11101]']
12018,15,"['[01100]', '[10010]', '[00001]', '[01010]', '[11000]']",['[11111]']
12020,15,"['[11001]', '[01100]', '[10010]', '[00101]', '[00110]', '[01010]', '[00011]', '[10100]']",['[11111]']
12036,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
12040,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
12113,15,"['[01001]', '[01100]', '[00101]', '[10000]', '[00110]', '[01010]', '[00011]']",['[11111]']
12115,15,"['[00100]', '[00010]', '[10000]', '[01000]']","['[01101]', '[11001]', '[11100]', '[11010]', '[01011]', '[10101]', '[01110]', '[10011]', '[10110]']"
12119,15,"['[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
