,station_code,capacity,station_name,latitude,longitude
0,1001,17.0,Quai de l'Horloge - Pont Neuf,48.857058739111,2.3417982839439
1,1002,22.0,Victoria - Place du Chatelet,48.857992591527,2.3469167947769
2,1003,86.0,Saint-Denis - Rivoli,48.859059340842,2.3476943001151
3,1006,29.0,Grande Truanderie - Saint-Denis,48.8626302,2.3498075
4,1007,16.0,Turbigo - Française,48.86358858111446,2.3477794602513318
5,1008,32.0,Les Halles - Saint-Eustache,48.86362695901683,2.342623919248581
6,1012,22.0,Jean-Jacques Rousseau - Deux Ecus,48.86297805972131,2.3414635285735126
7,1013,67.0,Place du Palais Royal,48.862382970647,2.3384822532535
8,1014,24.0,Rivoli - Musée du Louvre,48.86364636851945,2.33409583568573
9,1015,37.0,Place André Malraux,48.863925158727,2.3356226831675
10,1016,25.0,Thérèse - Opéra,48.866483514509,2.3344334212238
11,1017,20.0,Saint-Honoré - 29 juillet,48.86557114282421,2.330567417577153
12,1018,21.0,Alger - Rivoli,48.864773553495,2.3294493936128
13,1020,40.0,Cambon - Rivoli,48.866143390992,2.3251800647137
14,1021,20.0,Halles - Bourdonnais,48.860448992575,2.3460162431002
15,1022,37.0,Danielle Casanova - Place Vendôme,48.868266498223,2.3304839059711
16,1023,32.0,Saint-Honoré - Musée du Louvre,48.863443132848,2.3348781846405
17,1024,21.0,Coquillière - Louvre,48.863795909662,2.3425736278296
18,1025,19.0,Oratoire - Rivoli,48.861342760889,2.3400047421455
19,1026,30.0,Place du Lieutenant Henri Karcher,48.86349087172447,2.3400671035051346
20,1102,38.0,Française - Etienne Marcel,48.864053304653766,2.347587011754513
21,1116,28.0,Ventadour - Opéra,48.866810653323,2.3343884482519
22,1117,27.0,Pont Neuf - Rivoli,48.860089892617,2.344057559967
23,1119,24.0,Cossonnerie - Sébastopol,48.86132665908402,2.349419631063938
24,1120,27.0,Lavandieres Sainte Opportune - Rivoli,48.859279702476,2.3466217517853
25,1201,28.0,Perrault - Place du Louvre,48.860273568996,2.3412468419093
26,2001,32.0,Greneta - Sebastopol,48.865242333228,2.3516669869423
27,2002,28.0,Etienne Marcel - Montorgueil,48.86450567259199,2.346195951104164
28,2003,32.0,Saint-Denis - Réaumur,48.8661116315789,2.3507790675507594
29,2004,17.0,Square Pierre Lazareff,48.867141720746,2.3483933508396
30,2005,16.0,Montmartre - Etienne Marcel,48.86502194581,2.3450684401448
31,2006,24.0,Place des Victoires,48.8660354,2.3420333
32,2008,28.0,Mairie du 2ème,48.8672190355135,2.3404625437747044
33,2009,58.0,Filles Saint-Thomas - Place de la Bourse,48.868899890853,2.3397543845203
34,2010,29.0,Uzès - Montmartre,48.87079098024071,2.3431010171771054
35,2012,11.0,Choiseul - Quatre Septembre,48.869935533187,2.3359975218773
36,2013,17.0,Favart - Italiens,48.871446353921,2.3382901058508
37,2014,32.0,Daunou - Louis le Grand,48.869113,2.332515
38,2015,33.0,Louis le Grand - Italiens,48.870508937204,2.3340544619393
39,2016,21.0,Aboukir - Alexandrie,48.86868344444473,2.3502043269474897
40,2017,40.0,Caire - Dussoubs,48.86785342111862,2.349364310503006
41,2020,20.0,Danielle Casanova - Opéra,48.867643242297,2.3333894088864
42,2021,58.0,Cléry - Montmartre,48.867458,2.3445211
43,2022,35.0,Saint-Fiacre - Poissonière,48.870828911558,2.3459213599563
44,2101,33.0,Bachaumont - Montmartre,48.86617395079137,2.3449775576591496
45,2102,37.0,Saint-Marc - Feydeau,48.870326843044,2.3418715826353
46,2108,54.0,Vivienne - Montmartre,48.871347597383,2.3414588347077
47,2110,28.0,Jeûneurs - Mulhouse,48.868997,2.346925
48,2111,30.0,Chabanais - Petits Champs,48.86703740186721,2.336716018617153
49,3001,51.0,Beaumarchais - Saint-Gilles,48.8580378,2.3679352
50,3002,18.0,Saint-Gilles - Turenne,48.858158956779,2.3647149920992
51,3003,29.0,Fille du Calvaire - Turenne,48.86210505412563,2.3649600148200998
52,3004,18.0,Place de la République - Temple,48.867211201859,2.3635464370545
53,3005,33.0,Sainte-Elisabeth - Turbigo,48.86610337431,2.3596492409706
54,3006,32.0,Mairie du 3ème,48.86446178139141,2.361762821674347
55,3007,28.0,Archives - Pastourelle,48.8623615,2.3595041
56,3008,36.0,Perle - Vieille du Temple,48.8601346,2.3611206
57,3009,19.0,Temple - Haudriettes,48.861636880212,2.3566960206458
58,3010,17.0,Beaubourg - Michel-le-Comte,48.862534941806,2.3543103039265
59,3011,31.0,Turbigo - Réaumur,48.865574047531,2.3564198613167
60,3012,25.0,Square Emile - Chautemps,48.867433724231,2.3536357283592
61,3101,34.0,Porte Saint-Martin,48.86860172112996,2.35570102930069
62,3102,61.0,Bourg l'Abbé - Saint-Martin,48.863933319493,2.352406270802
63,3201,24.0,Payenne - Square George Caïn,48.8578329,2.3622643
64,4001,31.0,Arcole - Notre-Dame,48.853883541328,2.3493797332048
65,4002,22.0,Marché aux fleurs,48.855258115391,2.3473754525185
66,4003,21.0,Quai aux Fleurs - Pont Saint-Louis,48.852915956209,2.3521957173944
67,4006,52.0,Bourdon - Pont Morland,48.8478103,2.3659356
68,4007,36.0,Place de la Bastille - Bourdon,48.852364355271,2.3681089282036
69,4009,28.0,Village Saint-Paul,48.852639866625,2.3607301712036
70,4010,49.0,Saint-Antoine Sévigné,48.8550222,2.3612322
71,4011,36.0,Hôtel de Ville - Pont-Marie,48.853899645527,2.3569472506642
72,4012,28.0,Tiron - Rivoli,48.855692253233,2.3579058051109
73,4013,30.0,Vieille du Temple - Francs Bourgeois,48.858256413365815,2.35821794718504
74,4014,29.0,Blancs-Manteaux - Archives,48.85941800703,2.3559471219778
75,4015,45.0,Mairie du 4ème,48.855949910497,2.3563823103905
76,4016,60.0,Lobau - Hôtel de Ville,48.8562118,2.3532536
77,4017,14.0,Place de l'Hôtel de Ville,48.8573314,2.351458
78,4018,31.0,Saint-Bon - Rivoli,48.857999643315,2.3502172809763
79,4019,32.0,Cloître Saint-Merri - Renard,48.858835448898,2.3518279194832
80,4020,23.0,Place Edmond Michelet,48.860134890542,2.3500636965036
81,4021,25.0,Centre Georges Pompidou,48.861419,2.352581
82,4101,24.0,Bastille - Beaumarchais,48.853833463852,2.3685702681541
83,4103,25.0,Archives - Rivoli,48.857346707443,2.3539767041802
84,4104,32.0,Sebastopol - Rambuteau,48.86181809267,2.3501381278038
85,4107,18.0,Beaumarchais - Pas de la Mule,48.855580507049,2.3684333673431
86,4108,25.0,Quai de Béthune - Pont de la Tournelle,48.85097433194,2.3563072085381
87,4109,15.0,Mornay - Sully,48.84970399548416,2.364460788667202
88,4110,20.0,Neuve Saint-Pierre - Beautreillis,48.85355351439652,2.3639122769236565
89,4201,12.0,Quai des Célestins - Henri IV,48.851290697625,2.3624387532495
90,5001,45.0,Harpe - Saint-Germain,48.851518815017,2.3436703160405
91,5002,34.0,Sommerard - Saint-Jacques,48.850310432924,2.3450158352986
92,5003,35.0,Le Goff - Gay-Lussac,48.846102400979,2.3412207886577
93,5004,19.0,Saint-Jacques - Val de Grâce,48.8417514,2.3413893
94,5005,42.0,Gay Lussac - Saint-Jacques,48.844730256132,2.3419239448664
95,5007,35.0,Ecoles - Carmes,48.848904447989,2.3473486304283
96,5012,16.0,Estrapade - Ulm,48.84512772828,2.3454568170362
97,5014,28.0,Jean Calvin - Tournefort,48.84158856925782,2.348489575088024
98,5015,63.0,Epée de Bois - Mouffetard,48.84150869038884,2.350066713988781
99,5016,17.0,Thouin - Cardinal Lemoine,48.845047166615,2.3494647851273
100,5018,37.0,Mutualité,48.848225572724,2.3502873256803
101,5019,25.0,Poissy - Saint-Germain,48.84969649427,2.3529685288668
102,5020,40.0,Institut du Monde Arabe - Saint-Germain,48.849063299501,2.3558086529374
103,5021,39.0,Jussieu - Fossés Saint-Bernard,48.847185510023,2.3534858599305
104,5022,20.0,Boulangers - Cardinal Lemoine,48.8462904,2.3521495
105,5024,21.0,Place Monge,48.842761803051,2.3524079471827
106,5026,49.0,Pascal - Claude Bernard,48.83906195215975,2.349978201091289
107,5027,40.0,Gobelins - Port-Royal,48.837135900263,2.3515201359987
108,5028,28.0,Censier - Jardin des Plantes,48.84107178161383,2.355475388467312
109,5030,69.0,Sorbonne - Ecoles,48.849686566191,2.3434996604919
110,5031,54.0,Lacépède - Linné,48.8437035476636,2.354651279747486
111,5032,51.0,Panthéon - Valette,48.847020571652,2.3464982619671
112,5033,30.0,Saint-Séverin - Saint-Michel,48.852731305488,2.3440927639604
113,5034,69.0,Censier - Santeuil,48.840658921385234,2.3537524044513702
114,5105,17.0,Geoffroy-Saint-Hilaire - Saint-Marcel,48.83907826424974,2.356877340669728
115,5107,23.0,Pontoise - La Tournelle,48.850458009188,2.3524542754922
116,5110,23.0,Lacépède - Monge,48.84389286531899,2.351966388523578
117,5115,30.0,Buffon - Jardin des Plantes,48.84266846610488,2.3618587106466293
118,5116,51.0,Place Valhubert,48.844182577315,2.3640366643667
119,5119,40.0,Jussieu - Guy de la Brosse,48.845665,2.355653
120,5121,47.0,Square René Viviani - Montebello,48.851904891406,2.3478421568871
121,5122,29.0,Saint-Michel - Luxembourg,48.84501507626,2.3394941166043
122,5123,31.0,Saint-Germain - Thenard,48.850571,2.3471015
123,5124,24.0,Erasme - Ulm,48.84264375274712,2.3445946723222733
124,5201,16.0,Saint-Jacques - Soufflot,48.846280383395,2.3430785379567
125,5202,34.0,Arbalète - Claude Bernard,48.840008992,2.347522975107
126,5203,19.0,Victor Cousin - Cujas,48.847909849567,2.3424898070094
127,6001,17.0,Institut de France,48.857615678565,2.3358313530377
128,6002,23.0,Saint-Benoît - Jacob,48.85545136013941,2.3334722220897675
129,6003,21.0,Saint-Sulpice,48.85165383178419,2.3308077827095985
130,6004,46.0,Regard - Rennes,48.847385404956,2.3268555477262
131,6005,49.0,Montparnasse -  Square Ozanam,48.843310567822,2.3265242949128
132,6006,19.0,Notre-Dame-des-Champs - Stanislas,48.84479928858768,2.329337755887181
133,6007,24.0,Bréa - Raspail,48.842738478258,2.3297942217634
134,6008,33.0,Assas - Luxembourg,48.843734468779,2.3334283818759
135,6009,36.0,Guynemer - Jardin du Luxembourg,48.8466127,2.3325478
136,6010,15.0,Chevreuse - Montparnasse,48.841739161231,2.3315522167367
137,6012,17.0,Saint-Germain - Ciseaux,48.853305277595,2.3344654618827
